0: f-arabic:	[388: f-mandarin (0.85486436092)]	[214: f-german (0.853046371361)]	[466: f-portuguese (0.852571603814)]	[443: m-polish (0.851850352364)]	[266: m-italian (0.849391917444)]	[655: m-spanish (0.848949883933)]	[514: f-russian (0.847720781125)]	[38: m-arabic (0.847177913415)]	[173: f-french (0.84676065418)]	[401: m-mandarin (0.844714583698)]	
1: f-arabic:	[366: f-mandarin (0.893862584849)]	[167: f-french (0.89372253548)]	[515: f-russian (0.892727538473)]	[398: f-mandarin (0.88769180856)]	[191: m-french (0.88387578923)]	[37: m-arabic (0.876181382562)]	[588: f-spanish (0.875155167269)]	[425: f-polish (0.874908805037)]	[514: f-russian (0.874852920381)]	[36: m-arabic (0.874067713711)]	
2: f-arabic:	[398: f-mandarin (0.91427250386)]	[220: f-german (0.914009511108)]	[564: f-spanish (0.910307897535)]	[534: m-russian (0.902733157485)]	[425: f-polish (0.900355997832)]	[169: f-french (0.897735935767)]	[465: f-portuguese (0.89715746666)]	[157: f-french (0.897029145729)]	[251: f-italian (0.893049470963)]	[552: f-spanish (0.890975473853)]	
3: f-arabic:	[85: f-cantonese (0.88451021633)]	[397: f-mandarin (0.870458857522)]	[699: m-turkish (0.866180658334)]	[408: m-mandarin (0.86598887263)]	[214: f-german (0.86579570733)]	[104: f-dutch (0.865010325445)]	[516: f-russian (0.861895622476)]	[165: f-french (0.86178655216)]	[275: f-japanese (0.860155781008)]	[443: m-polish (0.859171464686)]	
4: f-arabic:	[374: f-mandarin (0.81910722421)]	[612: m-spanish (0.810257775301)]	[566: f-spanish (0.799574098302)]	[13: f-arabic (0.798424759062)]	[152: f-french (0.797459049093)]	[153: f-french (0.792141253405)]	[570: f-spanish (0.788816598055)]	[369: f-mandarin (0.786606234559)]	[505: f-russian (0.786008488284)]	[199: m-french (0.785139141049)]	
5: f-arabic:	[118: f-dutch (0.902751582333)]	[155: f-french (0.895742449854)]	[455: f-portuguese (0.894261687815)]	[465: f-portuguese (0.892663154849)]	[510: f-russian (0.887533554742)]	[286: f-japanese (0.886965735141)]	[162: f-french (0.885920438736)]	[280: f-japanese (0.884475892301)]	[247: f-italian (0.883710877517)]	[157: f-french (0.880388059167)]	
6: f-arabic:	[247: f-italian (0.942100914386)]	[251: f-italian (0.935823385842)]	[356: f-macedonian (0.930563281734)]	[682: f-turkish (0.930332051746)]	[502: f-russian (0.929911072488)]	[564: f-spanish (0.929171376185)]	[175: f-french (0.920934054326)]	[108: f-dutch (0.919860645065)]	[451: m-polish (0.919575813779)]	[286: f-japanese (0.918661062383)]	
7: f-arabic:	[119: f-dutch (0.941188031453)]	[682: f-turkish (0.939189356895)]	[21: f-arabic (0.933817727316)]	[74: m-arabic (0.933078922749)]	[116: f-dutch (0.929223787859)]	[175: f-french (0.928935102782)]	[440: m-polish (0.928752218095)]	[183: m-french (0.925822298464)]	[632: m-spanish (0.924972329362)]	[254: m-italian (0.924359848145)]	
8: f-arabic:	[502: f-russian (0.888114801726)]	[17: f-arabic (0.883579868798)]	[6: f-arabic (0.875036719791)]	[94: f-cantonese (0.873443013349)]	[14: f-arabic (0.87233576658)]	[468: f-portuguese (0.871071079693)]	[305: f-korean (0.868985047709)]	[249: f-italian (0.867407105694)]	[227: f-german (0.865361387452)]	[119: f-dutch (0.863640495438)]	
9: f-arabic:	[124: f-dutch (0.917806431838)]	[650: m-spanish (0.915623933083)]	[286: f-japanese (0.913633445512)]	[254: m-italian (0.912941310653)]	[74: m-arabic (0.911689137825)]	[6: f-arabic (0.910879008271)]	[251: f-italian (0.910778913445)]	[592: f-spanish (0.910597271179)]	[402: m-mandarin (0.909539712083)]	[123: f-dutch (0.909427005265)]	
10: f-arabic:	[401: m-mandarin (0.871712796302)]	[162: f-french (0.869354677996)]	[280: f-japanese (0.867695186568)]	[17: f-arabic (0.862640081588)]	[109: f-dutch (0.859295205167)]	[295: m-japanese (0.858677465204)]	[464: f-portuguese (0.857794615472)]	[176: f-french (0.856896625701)]	[163: f-french (0.854238632689)]	[455: f-portuguese (0.853822474771)]	
11: f-arabic:	[699: m-turkish (0.904800468581)]	[464: f-portuguese (0.901874554109)]	[595: f-spanish (0.901371080551)]	[425: f-polish (0.896331582567)]	[22: f-arabic (0.889325476278)]	[28: f-arabic (0.887425138306)]	[601: m-spanish (0.88551319568)]	[398: f-mandarin (0.885089492186)]	[162: f-french (0.883943653892)]	[280: f-japanese (0.881114127492)]	
12: f-arabic:	[52: m-arabic (0.903900664853)]	[342: f-macedonian (0.899936783085)]	[579: f-spanish (0.896346952305)]	[577: f-spanish (0.892272550296)]	[108: f-dutch (0.892139810007)]	[286: f-japanese (0.891465947245)]	[402: m-mandarin (0.889504176471)]	[14: f-arabic (0.888800620426)]	[473: m-portuguese (0.888749199921)]	[301: f-korean (0.886470910082)]	
